review_id,account_number,film_id,title,score,description,review_date
1,14,11,Public-key,10,justo in blandit ultrices enim lorem ipsum dolor,2019-11-24
2,18,18,implementation,9,odio cras mi pede malesuada in,2020-07-05
3,4,3,Quality-focused,6,aenean fermentum donec ut mauris,2019-04-17
4,8,15,artificial intelligence,3,nibh fusce lacus purus aliquet,2019-09-16
5,3,20,Grass-roots,2,sodales sed tincidunt eu felis,2018-11-13
6,19,15,Programmable,8,suspendisse ornare consequat lectus in est risus auctor sed,2020-04-02
7,4,5,explicit,1,sociis natoque penatibus et magnis dis parturient montes,2019-02-13
8,17,19,User-centric,3,quis libero nullam sit amet turpis elementum,2020-01-02
9,5,15,secured line,10,accumsan tellus nisi,2020-06-24
10,18,16,time-frame,4,amet diam in magna bibendum imperdiet,2019-09-23
11,13,14,secondary,3,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,2020-05-18
12,17,13,Business-focused,7,ipsum primis in faucibus orci luctus et ultrices,2019-04-20
13,9,10,Multi-channelled,6,duis bibendum felis,2018-10-31
14,14,8,Robust,10,ultrices erat tortor sollicitudin mi sit amet,2019-10-01
15,7,11,tertiary,2,eros suspendisse accumsan tortor quis turpis sed ante vivamus,2019-09-12
16,12,3,asymmetric,4,curae donec pharetra magna vestibulum aliquet ultrices erat tortor,2020-09-11
17,10,18,Quality-focused,3,at nibh in hac habitasse,2019-10-31
18,20,16,paradigm,5,curae mauris viverra diam vitae quam suspendisse,2018-12-09
19,7,9,Fully-configurable,8,et ultrices posuere cubilia curae,2019-05-17
20,20,14,discrete,7,ultrices phasellus id sapien in sapien iaculis congue vivamus metus,2019-01-12
21,4,2,adapter,4,lacus morbi quis tortor id nulla ultrices,2020-01-16
22,4,10,mission-critical,9,nunc nisl duis bibendum felis sed interdum venenatis turpis enim,2019-04-13
23,1,1,solution-oriented,10,placerat praesent blandit nam nulla integer pede justo,2020-02-24
24,6,2,secured line,9,erat quisque erat eros viverra eget congue eget semper rutrum,2020-06-06
25,5,10,motivating,9,vitae nisi nam ultrices libero non,2020-01-16
26,18,17,Robust,9,sed tristique in tempus sit amet sem fusce consequat nulla,2019-09-12
27,4,7,matrices,1,varius ut blandit non interdum in ante vestibulum ante,2019-08-09
28,1,14,grid-enabled,3,nascetur ridiculus mus vivamus,2020-09-30
29,11,9,context-sensitive,9,ante nulla justo aliquam quis turpis eget elit sodales,2018-10-31
30,19,8,parallelism,1,nec sem duis aliquam convallis nunc,2019-07-08
31,19,1,Public-key,6,ut blandit non interdum in ante vestibulum ante ipsum,2019-04-29
32,7,3,Down-sized,10,mattis nibh ligula,2019-06-27
33,19,15,Advanced,8,neque aenean auctor gravida sem praesent id,2020-09-05
34,7,1,Vision-oriented,10,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,2019-09-19
35,6,19,alliance,4,vestibulum quam sapien varius,2019-09-16
36,11,20,attitude-oriented,6,massa volutpat convallis morbi odio odio elementum,2019-07-08
37,4,6,Virtual,3,lectus pellentesque at nulla suspendisse potenti cras in purus eu,2018-11-16
38,15,16,Enterprise-wide,9,id massa id nisl venenatis,2020-05-03
39,15,8,multi-tasking,9,lectus pellentesque at,2020-08-20
40,15,14,Ergonomic,2,dapibus augue vel accumsan tellus nisi,2020-01-01
41,1,6,Profit-focused,7,consequat nulla nisl nunc nisl duis bibendum felis sed,2019-07-30
42,3,16,Phased,10,a feugiat et,2020-02-14
43,14,20,directional,2,imperdiet nullam orci pede venenatis non sodales,2019-12-22
44,6,7,knowledge user,6,bibendum felis sed interdum venenatis turpis enim,2020-01-29
45,16,19,User-centric,4,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,2018-10-27
46,10,9,collaboration,2,vivamus in felis eu sapien cursus vestibulum proin,2019-02-18
47,11,16,policy,7,feugiat non pretium quis lectus suspendisse potenti,2019-08-12
48,1,1,logistical,10,mi integer ac neque duis bibendum morbi non quam nec,2019-04-25
49,5,6,secured line,6,condimentum curabitur in libero ut massa,2019-08-22
50,14,5,Multi-tiered,6,ante ipsum primis in,2019-06-26
